Raw file	Experiment	Fraction	Enzyme	Enzyme mode	Enzyme first search	Enzyme mode first search	Use enzyme first search	Variable modifications	Fixed modifications	Multi modifications	Variable modifications first search	Use variable modifications first search	Requantify	Multiplicity	Max. missed cleavages	Max. labeled AAs	Labels0	Labels1	Labels2	LC-MS run type	Time-dependent recalibration	MS	MS/MS	MS3	MS/MS submitted	MS/MS submitted (SIL)	MS/MS submitted (ISO)	MS/MS submitted (PEAK)	MS/MS identified	MS/MS identified (SIL)	MS/MS identified (ISO)	MS/MS identified (PEAK)	MS/MS identified [%]	MS/MS identified (SIL) [%]	MS/MS identified (ISO) [%]	MS/MS identified (PEAK) [%]	Peptide sequences identified	Peaks	Peaks sequenced	Peaks sequenced [%]	Peaks repeatedly sequenced	Peaks repeatedly sequenced [%]	Isotope patterns	Isotope patterns sequenced	Isotope patterns sequenced (z>1)	Isotope patterns sequenced [%]	Isotope patterns sequenced (z>1) [%]	Isotope patterns repeatedly sequenced	Isotope patterns repeatedly sequenced [%]	Multiplets	Multiplets z=1	Multiplets z=2	Multiplets z=3	Multiplets z=4	Multiplets z=5	Multiplets z=6	Multiplets z=7	Multiplets sequenced	Multiplets sequenced [%]	Multiplets repeatedly sequenced	Multiplets repeatedly sequenced [%]	Multiplets identified	Multiplets identified [%]	Recalibrated	Av. absolute mass deviation [ppm]	Mass standard deviation [ppm]	Av. absolute mass deviation [mDa]	Mass standard deviation [mDa]
20191216_ZH_MEFs_Phosphoproteome_TiO2_1_01	Exp1	1	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Phospho (STY)	Carbamidomethyl (C)			False	True	3	3	4		Arg6;Lys4	Arg10;Lys8	Standard		4498	39066	0	42908	17755	17469	7684	13891	9637	3838	416	32	54	22	5.4	3878	520645	33583	6.5	3298	9.8	78540	27553	26958	35	37	4697	17	6688	90	2854	2872	724	134	11	3	5896	88	4477	76	3099	53	+	0.3889	0.53436	0.29987	0.44065
20191216_ZH_MEFs_Phosphoproteome_TiO2_1_02	Exp1	2	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Phospho (STY)	Carbamidomethyl (C)			False	True	3	3	4		Arg6;Lys4	Arg10;Lys8	Standard		3426	41101	0	45935	18183	18084	9668	17252	11860	4899	493	38	65	27	5.1	4678	535463	34524	6.4	3759	11	82952	27808	27095	34	36	5177	19	6852	109	2839	3100	632	152	15	5	5957	87	4540	76	3780	63	+	0.38783	0.52549	0.30871	0.45007
20191216_ZH_MEFs_Phosphoproteome_TiO2_1_03	Exp1	3	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Phospho (STY)	Carbamidomethyl (C)			False	True	3	3	4		Arg6;Lys4	Arg10;Lys8	Standard		3431	41083	0	45784	18085	18297	9402	16240	10882	4875	483	35	60	27	5.1	4696	515776	34936	6.8	3595	10	81053	28269	27709	35	37	5002	18	6812	119	2898	2969	694	120	8	4	5947	87	4595	77	3499	59	+	0.41131	0.56617	0.32979	0.49596
20191216_ZH_MEFs_Phosphoproteome_TiO2_1_04	Exp1	4	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Phospho (STY)	Carbamidomethyl (C)			False	True	3	3	4		Arg6;Lys4	Arg10;Lys8	Standard		3522	40948	0	45398	19324	17174	8900	16507	11482	4460	565	36	59	26	6.3	4933	526711	35176	6.7	3550	10	84084	28834	28332	34	36	4867	17	7426	129	3310	3196	653	130	7	1	6440	87	4878	76	3777	59	+	0.40672	0.5609	0.31748	0.46477
20191216_ZH_MEFs_Phosphoproteome_TiO2_1_05	Exp1	5	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Phospho (STY)	Carbamidomethyl (C)			False	True	3	3	4		Arg6;Lys4	Arg10;Lys8	Standard		3496	40975	0	46121	18661	17168	10292	15431	10842	4111	478	33	58	24	4.6	4473	508279	35232	6.9	3382	9.6	81569	28276	27767	35	37	4768	17	7122	138	3057	3052	729	130	11	5	6168	87	4718	76	3506	57	+	0.40067	0.54991	0.31001	0.45345
20191216_ZH_MEFs_Phosphoproteome_TiO2_1_06	Exp1	6	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Phospho (STY)	Carbamidomethyl (C)			False	True	3	3	4		Arg6;Lys4	Arg10;Lys8	Standard		3826	40454	0	44708	19125	17075	8508	15117	10608	4052	457	34	55	24	5.4	4432	522226	35388	6.8	3193	9	82380	29240	28819	35	38	4704	16	7134	136	3146	3087	641	118	3	3	6311	88	4904	78	3378	54	+	0.41954	0.56609	0.32526	0.46987
20191216_ZH_MEFs_Phosphoproteome_TiO2_1_07	Exp1	7	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Phospho (STY)	Carbamidomethyl (C)			False	True	3	3	4		Arg6;Lys4	Arg10;Lys8	Standard		4282	39484	0	43209	18844	16915	7450	15538	10578	4483	477	36	56	27	6.4	4523	533719	34529	6.5	3158	9.1	83039	28694	28271	35	37	4683	16	7174	132	3055	3148	688	144	5	2	6256	87	4799	77	3346	53	+	0.41288	0.55585	0.31839	0.46262
20191216_ZH_MEFs_Phosphoproteome_TiO2_1_08	Exp1	8	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Phospho (STY)	Carbamidomethyl (C)			False	True	3	3	4		Arg6;Lys4	Arg10;Lys8	Standard		4992	38054	0	43525	15763	16820	10942	12617	8672	3625	320	29	55	22	2.9	3372	364078	32014	8.8	3592	11	51808	24315	23973	47	50	5034	21	4436	40	2040	1967	332	53	4	0	4274	96	3680	86	2378	56	+	0.38383	0.52388	0.29118	0.42572
20191216_ZH_MEFs_Phosphoproteome_TiO2_1_09	Exp1	9	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Phospho (STY)	Carbamidomethyl (C)			False	True	3	3	4		Arg6;Lys4	Arg10;Lys8	Standard		4368	39326	0	42914	19192	16546	7176	15370	10718	4266	386	36	56	26	5.4	4500	521852	34535	6.6	3217	9.3	82763	28807	28443	35	37	4772	17	7254	117	3201	3178	630	119	6	3	6352	88	4883	77	3371	53	+	0.41727	0.56879	0.32219	0.47597
20191216_ZH_MEFs_Phosphoproteome_TiO2_1_10	Exp1	10	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Phospho (STY)	Carbamidomethyl (C)			False	True	3	3	4		Arg6;Lys4	Arg10;Lys8	Standard		4145	39763	0	43508	19778	16240	7490	14626	10563	3757	306	34	53	23	4.1	4173	515300	34989	6.8	3193	9.1	82313	29280	28866	36	38	4657	16	7350	108	3095	3225	757	158	5	2	6526	89	5092	78	3327	51	+	0.41577	0.57565	0.32614	0.47846
