""	"Mean"	"Variance"	"Skewness"
"Global_Intensity.L_Protein Groups"	27.6842788182788	8.99090963499992	0.186631583827752
"MV_Intensity.L_Protein Groups"	24.2400916746029	1.96003000729711	0.359924806302716
"Global_Intensity.M_Protein Groups"	26.8054435074512	8.94999488219663	0.117527348022123
"MV_Intensity.M_Protein Groups"	23.3352747367642	2.18105929334679	0.0565680717827748
"Global_Intensity.H_Protein Groups"	26.8500025935383	8.79398158924814	0.0989928277174669
"MV_Intensity.H_Protein Groups"	23.4341622117401	2.33950699969584	0.0783128842237362
"Global_Intensity.L_Phosphosites (STY)"	24.7862695582708	5.36170061333993	0.72717910809439
"MV_Intensity.L_Phosphosites (STY)"	23.7510695360423	3.03003427170174	0.996631237657451
"Global_Intensity.M_Phosphosites (STY)"	23.8408057631263	5.61792788487429	0.60704943194449
"MV_Intensity.M_Phosphosites (STY)"	22.7691445962764	3.34098614278383	0.794954935221108
"Global_Intensity.H_Phosphosites (STY)"	23.8658814179968	5.555394826366	0.587765688846813
"MV_Intensity.H_Phosphosites (STY)"	22.8012649740739	3.33803881494376	0.764975049352942
"Global_dko_hbss_Protein Groups"	27.1843554805398	9.01707861411109	0.137384462800868
"MV_dko_hbss_Protein Groups"	23.7271335719787	2.21147606169266	0.185480831200652
"Global_ulk_dmem_Protein Groups"	26.9630142347071	8.8005567295777	0.109666397844643
"MV_ulk_dmem_Protein Groups"	23.5462083290937	2.30186433712442	0.0634925303084178
"Global_ulk_hbss_Protein Groups"	27.1942491720155	8.96387480745436	0.135084195618652
"MV_ulk_hbss_Protein Groups"	23.748469688292	2.18172689155512	0.0412589021125853
"Global_dko_hbss_Phosphosites (STY)"	24.1179064395408	5.97819839113555	0.537714309960896
"MV_dko_hbss_Phosphosites (STY)"	23.0517358386776	3.69965129979675	0.672877941119159
"Global_ulk_dmem_Phosphosites (STY)"	24.0936445392933	5.43742197997735	0.595882923770349
"MV_ulk_dmem_Phosphosites (STY)"	23.0385249629146	3.18651801033715	0.715722732771081
"Global_ulk_hbss_Phosphosites (STY)"	24.2824445586308	5.56228104149535	0.612666948351428
"MV_ulk_hbss_Phosphosites (STY)"	23.2279969136536	3.32311128983752	0.786973757573648
