""	"Mean"	"Variance"	"Skewness"
"Global_M/L_Protein Groups"	-0.0444124113517773	0.0902605585312104	0.91081368849848
"MV_M/L_Protein Groups"	-0.0129716350979298	0.229051328735991	0.834952046419693
"Global_H/L_Protein Groups"	-0.0405448695962334	0.0999490631942697	3.03811918105531
"MV_H/L_Protein Groups"	0.0194935282008073	0.270988742512853	2.06292728298469
"Global_H/M_Protein Groups"	0.0149486443808507	0.0885864463684389	1.76805991326282
"MV_H/M_Protein Groups"	0.0499945335411071	0.252164579569258	0.896983070293311
"Global_M/L_Phosphosites (STY)"	-0.140867043750236	0.479623750159805	0.957617574791626
"MV_M/L_Phosphosites (STY)"	-0.14624861203291	0.676362841107292	0.879645261779095
"Global_H/L_Phosphosites (STY)"	-0.109996865149266	0.493515903173006	1.06739066064677
"MV_H/L_Phosphosites (STY)"	-0.107769008540173	0.689994746084971	0.936422237005297
"Global_H/M_Phosphosites (STY)"	0.0283166883662352	0.44918970129017	0.619630232666936
"MV_H/M_Phosphosites (STY)"	0.0324188910701381	0.660163958000808	0.469964024512773
"Global_M/L_Normed ph - ft"	-0.0660833229348613	0.489974095225747	0.832412566122565
"MV_M/L_Normed ph - ft"	-0.0621700192985875	0.660158057536204	0.739823248608198
"Global_H/L_Normed ph - ft"	-0.054867208351354	0.532408895384712	1.22068862998529
"MV_H/L_Normed ph - ft"	-0.0483350470281649	0.712649097137587	1.09977015679697
"Global_H/M_Normed ph - ft"	9.56432049443565e-05	0.474365845695214	0.723332894319505
"MV_H/M_Normed ph - ft"	-0.000335456261380877	0.664155474997264	0.605016028311662
"Global_ulk_dmem/dko_hbss_Protein Groups"	0.0396117980988368	0.175963733090897	1.00977413968543
"MV_ulk_dmem/dko_hbss_Protein Groups"	0.0908238372529322	0.303874080181774	0.753486698561221
"Global_ulk_hbss/dko_hbss_Protein Groups"	-0.0244976016753641	0.104804635659142	1.0213338968896
"MV_ulk_hbss/dko_hbss_Protein Groups"	-0.0263995733395413	0.252642115247462	1.045642710667
"Global_ulk_hbss/ulk_dmem_Protein Groups"	-0.0530859573033822	0.152360711748931	-0.821916288624151
"MV_ulk_hbss/ulk_dmem_Protein Groups"	-0.100779990617548	0.283485962645024	-0.375365916378544
"Global_ulk_dmem/dko_hbss_Phosphosites (STY)"	0.194982047530571	0.872138870227585	0.940939712563885
"MV_ulk_dmem/dko_hbss_Phosphosites (STY)"	0.20939920999646	0.987749394978494	0.67932683441378
"Global_ulk_hbss/dko_hbss_Phosphosites (STY)"	0.140776700910139	0.63812894363746	1.54440884861948
"MV_ulk_hbss/dko_hbss_Phosphosites (STY)"	0.154447975049575	0.772832431375064	1.00856441401293
"Global_ulk_hbss/ulk_dmem_Phosphosites (STY)"	-0.0574275635218635	0.509174312593152	-0.289430961586771
"MV_ulk_hbss/ulk_dmem_Phosphosites (STY)"	-0.0621706433922272	0.619564655014609	-0.12835689491511
"Global_ulk_dmem/dko_hbss_Normed ph - ft"	0.188764509137044	0.865780863077447	1.16730448730852
"MV_ulk_dmem/dko_hbss_Normed ph - ft"	0.200065931134366	0.956046251605749	0.874111591814652
"Global_ulk_hbss/dko_hbss_Normed ph - ft"	0.178136841659448	0.671983415461944	1.69177961345227
"MV_ulk_hbss/dko_hbss_Normed ph - ft"	0.186985533618938	0.778437359711679	1.17127593019006
"Global_ulk_hbss/ulk_dmem_Normed ph - ft"	-0.0221681879241517	0.479763322960609	-0.438394807943051
"MV_ulk_hbss/ulk_dmem_Normed ph - ft"	-0.0273947731141051	0.579517144159258	-0.255611294097944
