""	"Mean"	"Variance"	"Skewness"
"Global_M/L_Protein Groups"	-0.0444124113517773	0.0902605585312104	0.91081368849848
"None_M/L_Protein Groups"	-0.0193315853282483	0.295282316682696	0.970075784113456
"Num_M/L_Protein Groups"	1.36478274699568	1.04315947476809	-2.21049952637337e-16
"Denom_M/L_Protein Groups"	-0.19607256016211	0.779212951090113	-0.814938916459493
"Global_H/L_Protein Groups"	-0.0405448695962334	0.0999490631942697	3.03811918105531
"None_H/L_Protein Groups"	0.0265818615402925	0.365802235268718	1.93765491822973
"Num_H/L_Protein Groups"	0.102097165348217	0.514999902727646	0.914101333128243
"Denom_H/L_Protein Groups"	-0.00651685152587294	1.60033358272183	2.2369484776649
"Global_H/M_Protein Groups"	0.0149486443808507	0.0885864463684389	1.76805991326282
"None_H/M_Protein Groups"	0.0579229233033832	0.328134263161395	0.722351216714453
"Num_H/M_Protein Groups"	-0.529825556387201	0.51359762812809	-0.511479857800157
"Denom_H/M_Protein Groups"	-0.796332808646711	0.955465862793269	-0.550199177181685
"Global_M/L_Phosphosites (STY)"	-0.140867043750236	0.479623750159805	0.957617574791626
"None_M/L_Phosphosites (STY)"	-0.148145858880643	0.675250625861776	0.881318081322801
"Num_M/L_Phosphosites (STY)"	-0.212204042086093	2.46281024009058	0.653693508690938
"Denom_M/L_Phosphosites (STY)"	0.0243879816537711	1.48069259446346	-0.319103041214234
"Global_H/L_Phosphosites (STY)"	-0.109996865149266	0.493515903173006	1.06739066064677
"None_H/L_Phosphosites (STY)"	-0.112277376013068	0.68426126499283	0.925844062402422
"Num_H/L_Phosphosites (STY)"	0.215727904207859	3.01312244915963	1.66453924084311
"Denom_H/L_Phosphosites (STY)"	0.144885360761654	1.86359496907399	0.720141815978226
"Global_H/M_Phosphosites (STY)"	0.0283166883662352	0.44918970129017	0.619630232666936
"None_H/M_Phosphosites (STY)"	0.0307844439323116	0.660905079432598	0.471540121313581
"Num_H/M_Phosphosites (STY)"	-0.0211990506445777	2.24041836182875	1.15536006532058
"Denom_H/M_Phosphosites (STY)"	0.477913138917647	1.47454598109796	-0.128951081006582
"Global_ulk_dmem/dko_hbss_Protein Groups"	0.0396117980988368	0.175963733090897	1.00977413968543
"None_ulk_dmem/dko_hbss_Protein Groups"	0.0895047839305253	0.364557010066987	0.588080600262822
"Num_ulk_dmem/dko_hbss_Protein Groups"	0.529161195492136	1.19563496312013	0.867545968986639
"Denom_ulk_dmem/dko_hbss_Protein Groups"	-0.12436077458833	0.404098334483907	-0.276205991524821
"Global_ulk_hbss/dko_hbss_Protein Groups"	-0.0244976016753641	0.104804635659142	1.0213338968896
"None_ulk_hbss/dko_hbss_Protein Groups"	-0.0215706258112516	0.34760562931391	1.09370816311624
"Num_ulk_hbss/dko_hbss_Protein Groups"	0.494218193063214	0.356278808809575	0.710850424774149
"Denom_ulk_hbss/dko_hbss_Protein Groups"	-0.166592793579159	0.769497637887929	-2.84812861618111
"Global_ulk_hbss/ulk_dmem_Protein Groups"	-0.0530859573033822	0.152360711748931	-0.821916288624151
"None_ulk_hbss/ulk_dmem_Protein Groups"	-0.0975244248978761	0.357032644514395	0.023636687382201
"Num_ulk_hbss/ulk_dmem_Protein Groups"	-0.0703010668118047	0.591564387882843	-1.45899821375983
"Denom_ulk_hbss/ulk_dmem_Protein Groups"	-0.113659057252525	1.83790748964888	2.24230757842762
"Global_ulk_dmem/dko_hbss_Phosphosites (STY)"	0.194982047530571	0.872138870227585	0.940939712563885
"None_ulk_dmem/dko_hbss_Phosphosites (STY)"	0.203314340714875	0.967763300661552	0.649126986758636
"Num_ulk_dmem/dko_hbss_Phosphosites (STY)"	1.80221047851673	2.6467275532308	-0.343621799795531
"Denom_ulk_dmem/dko_hbss_Phosphosites (STY)"	-0.37838806433832	1.14035028840312	0.670767328375665
"Global_ulk_hbss/dko_hbss_Phosphosites (STY)"	0.140776700910139	0.63812894363746	1.54440884861948
"None_ulk_hbss/dko_hbss_Phosphosites (STY)"	0.145667545918758	0.747851950930724	0.944102428250832
"Num_ulk_hbss/dko_hbss_Phosphosites (STY)"	1.67227789774651	2.39922695765179	0.216100424904895
"Denom_ulk_hbss/dko_hbss_Phosphosites (STY)"	-0.0979668975602451	0.765484457472647	-0.221231461072639
"Global_ulk_hbss/ulk_dmem_Phosphosites (STY)"	-0.0574275635218635	0.509174312593152	-0.289430961586771
"None_ulk_hbss/ulk_dmem_Phosphosites (STY)"	-0.0621193956398094	0.61944897613525	-0.123959579516349
"Num_ulk_hbss/ulk_dmem_Phosphosites (STY)"	0.133421715596567	0.992906838977664	1.43511356621584
"Denom_ulk_hbss/ulk_dmem_Phosphosites (STY)"	-0.722526720051835	1.63746415587925	-1.29739601897513
